timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508446913.828888,-0.135713,1.385820,-2.287802,0.269195,-0.419388,0.228308,-0.024884,-0.982941,-0.182232,0.072995,0.022613,-0.015552,4.103832,-25.813553,-4.682976,,,,,,,5
,,,,,,,,,,,,,,,,42.293346,-71.264176,61.333225,-1.000000,-1.000000,1508446911.161917,5
,,,,,,,,,,,,,,,,42.293346,-71.264133,61.333225,-1.000000,-1.000000,1508446885.221485,5
1508446913.848902,-0.185010,1.389555,-2.249470,0.218070,-0.706923,0.320305,-0.033158,-0.983621,-0.177174,0.018495,0.079980,0.075566,3.875548,-25.869972,-4.564643,,,,,,,5
,,,,,,,,,,,,,,,,42.293346,-71.264176,61.333225,-1.000000,-1.000000,1508446911.161917,5
1508446913.868911,-0.240349,1.392584,-2.209955,0.249045,-0.818565,0.297052,-0.042198,-0.984162,-0.172175,-0.043831,0.096833,0.163233,3.699172,-25.902472,-4.526514,,,,,,,5
1508446913.888923,-0.278788,1.396751,-2.185668,0.237674,-0.678092,0.061756,-0.047654,-0.984892,-0.166482,-0.058242,0.117537,0.149270,3.531927,-25.934740,-4.475041,,,,,,,5
1508446913.908938,-0.296204,1.400822,-2.179063,0.207891,-0.458453,-0.018180,-0.049375,-0.985589,-0.161790,-0.119524,-0.013175,0.091966,3.399261,-25.971941,-4.360565,,,,,,,5
1508446913.928940,-0.307412,1.404987,-2.174633,0.205703,-0.280043,-0.036163,-0.049943,-0.986285,-0.157313,-0.111052,-0.013440,0.118708,3.380528,-25.984583,-4.299395,,,,,,,5
,,,,,,,,,,,,,,,,42.293349,-71.264226,61.333225,-1.000000,-1.000000,1508446913.915049,5
1508446913.948960,-0.309070,1.408873,-2.177136,0.156798,-0.168730,-0.109950,-0.049038,-0.986919,-0.153577,-0.108311,-0.007664,0.115278,3.377185,-25.995781,-4.233830,,,,,,,5
,,,,,,,,,,,,,,,,42.293360,-71.264255,61.333225,-1.000000,-1.000000,1508446913.925142,5
,,,,,,,,,,,,,,,,42.293371,-71.264284,61.333225,-1.000000,-1.000000,1508446913.948284,5
1508446913.968974,-0.296835,1.412160,-2.191850,0.105766,-0.065924,-0.190139,-0.046206,-0.987444,-0.151064,-0.100934,-0.024611,0.071489,3.450309,-26.002319,-4.133522,,,,,,,5
,,,,,,,,,,,,,,,,42.293382,-71.264312,61.333225,-1.000000,-1.000000,1508446913.962490,5
1508446913.988985,-0.272077,1.415329,-2.216301,0.098338,0.071993,-0.244398,-0.041611,-0.987939,-0.149146,-0.037384,-0.000373,0.082648,3.561466,-25.995523,-4.081666,,,,,,,5
1508446914.008997,-0.242754,1.418909,-2.245217,0.131438,-0.017356,-0.271875,-0.036370,-0.988487,-0.146868,0.020592,0.039070,0.095827,3.628602,-25.990767,-4.052718,,,,,,,5
1508446914.029010,-0.211004,1.423365,-2.280667,0.173181,-0.249171,-0.330267,-0.030767,-0.989152,-0.143640,0.142598,-0.002151,0.092889,3.841359,-25.975616,-3.952540,,,,,,,5
1508446914.049020,-0.176782,1.428757,-2.322176,0.227575,-0.388408,-0.342700,-0.024895,-0.989929,-0.139356,0.163873,-0.008819,0.081968,3.956822,-25.966707,-3.896775,,,,,,,5
1508446914.069016,-0.149848,1.435393,-2.358880,0.330799,-0.528438,-0.270616,-0.020152,-0.990847,-0.133477,0.148799,0.018206,0.040673,4.100065,-25.958061,-3.805235,,,,,,,5
1508446914.089044,-0.137591,1.444455,-2.384672,0.478829,-0.755688,-0.222717,-0.017283,-0.992030,-0.124815,0.073359,-0.000875,0.015608,4.210509,-25.965996,-3.626282,,,,,,,5
1508446914.109055,-0.125111,1.455401,-2.416019,0.519500,-1.034229,-0.291748,-0.014368,-0.993349,-0.114240,0.028696,-0.023420,0.041196,4.275174,-25.981331,-3.435779,,,,,,,5
1508446914.129066,-0.092825,1.466376,-2.470958,0.513341,-1.130197,-0.395152,-0.009661,-0.994553,-0.103782,0.020999,-0.010238,0.097709,4.345262,-25.986689,-3.304838,,,,,,,5
,,,,,,,,,,,,,,,,42.293512,-71.264163,60.611038,-1.000000,-1.000000,1508446914.119316,5
1508446914.149080,-0.037945,1.477621,-2.548217,0.546364,-1.082490,-0.418268,-0.003530,-0.995662,-0.092974,-0.018947,0.027172,0.094134,4.518266,-25.983877,-3.087834,,,,,,,5
1508446914.169068,0.032579,1.488787,-2.639867,0.557981,-1.000588,-0.387232,0.002668,-0.996639,-0.081874,-0.059858,0.033382,0.077297,4.667929,-25.979353,-2.897387,,,,,,,5
1508446914.189101,0.113689,1.498744,-2.740563,0.489708,-0.959965,-0.324945,0.008167,-0.997405,-0.071525,-0.108814,0.012969,0.055244,4.771948,-25.976181,-2.752787,,,,,,,5
1508446914.209114,0.199218,1.506058,-2.846952,0.380060,-1.093667,-0.298268,0.012803,-0.997905,-0.063413,-0.118836,-0.013661,0.055387,4.910835,-25.968597,-2.574273,,,,,,,5
1508446914.229111,0.300187,1.511117,-2.973687,0.322790,-1.413531,-0.336249,0.017637,-0.998220,-0.056976,-0.088880,-0.068782,0.059113,4.985326,-25.959850,-2.518715,,,,,,,5
1508446914.249137,0.423427,1.513750,-3.131030,0.252853,-1.831247,-0.409544,0.023427,-0.998373,-0.051980,-0.058156,-0.120584,0.070062,5.063354,-25.946585,-2.499690,,,,,,,5
1508446914.269151,0.539326,1.512175,2.998790,0.050499,-1.809912,-0.436663,0.030088,-0.998282,-0.050272,0.124224,-0.109338,0.146875,5.243221,-25.900076,-2.608820,,,,,,,5
1508446914.289162,0.626917,1.506354,2.876306,-0.050567,-1.747414,-0.503464,0.037779,-0.997924,-0.052152,0.214021,-0.012772,0.116376,5.347143,-25.864538,-2.746812,,,,,,,5
1508446914.309172,0.729835,1.500043,2.731125,0.164013,-2.401338,-0.639539,0.047135,-0.997498,-0.052687,0.254028,-0.013320,0.086760,5.467783,-25.821825,-2.906531,,,,,,,5
1508446914.329187,0.864349,1.494143,2.537933,0.338078,-3.155955,-0.716399,0.058251,-0.997064,-0.049709,0.429741,-0.198676,0.061321,5.740452,-25.730221,-3.180277,,,,,,,5
1508446914.349197,0.933809,1.486691,2.405922,0.009607,-2.881976,-0.492113,0.067532,-0.996465,-0.049965,0.498432,-0.240336,-0.033470,5.878712,-25.669149,-3.412738,,,,,,,5
1508446914.369184,0.837236,1.479364,2.455615,-0.636981,-2.171066,0.076984,0.067821,-0.995823,-0.061130,0.353078,0.024037,-0.236096,5.875962,-25.629278,-3.704648,,,,,,,5
1508446914.389209,0.605392,1.470543,2.638142,-1.005779,-2.790923,0.480204,0.056957,-0.994979,-0.082298,0.036564,0.329589,-0.290108,5.032452,-25.645712,-6.831056,,,,,,,5
1508446914.409232,0.369249,1.457446,2.812420,-0.965064,-3.321026,0.486527,0.040822,-0.993583,-0.105485,0.001734,0.326590,-0.181030,4.521430,-25.572565,-7.435863,,,,,,,5
