timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508446738.250551,-0.047264,0.054740,0.009928,0.060384,-0.063456,-0.000130,-0.047175,-0.054713,-0.997387,0.014995,0.005366,-0.035557,-9.177189,-12.052594,-43.071774,,,,,,,5
,,,,,,,,,,,,,,,,42.293374,-71.264163,60.209827,-1.000000,-1.000000,1508446726.644757,5
1508446738.270587,-0.050331,0.055768,0.009956,0.041274,-0.178175,0.000690,-0.050231,-0.055739,-0.997181,0.012283,0.000579,-0.003445,-9.284159,-12.101208,-43.035202,,,,,,,5
,,,,,,,,,,,,,,,,42.293374,-71.264163,60.209827,-1.000000,-1.000000,1508446717.644757,5
1508446738.290578,-0.053092,0.056337,0.010101,0.019933,-0.111210,0.008018,-0.052983,-0.056307,-0.997007,-0.000881,-0.002118,0.025495,-9.359520,-12.117386,-43.014324,,,,,,,5
1508446738.310610,-0.054005,0.056683,0.010201,0.013505,-0.009245,0.001654,-0.053892,-0.056652,-0.996938,-0.011935,-0.000415,0.009557,-9.480239,-12.145216,-42.980022,,,,,,,5
,,,,,,,,,,,,,,,,42.293374,-71.264163,60.209827,-1.000000,-1.000000,1508446726.644757,5
1508446738.330621,-0.053441,0.056742,0.010238,-0.008893,0.068316,0.001527,-0.053330,-0.056711,-0.996965,-0.008499,-0.002874,0.002397,-9.484180,-12.153162,-42.976910,,,,,,,5
1508446738.350623,-0.051504,0.056437,0.010311,-0.016375,0.107645,0.006819,-0.051400,-0.056407,-0.997084,-0.002632,0.000499,0.006834,-9.440626,-12.147894,-42.987988,,,,,,,5
1508446738.370638,-0.049395,0.055978,0.010548,-0.013188,0.086431,0.016412,-0.049298,-0.055949,-0.997216,0.008359,0.008005,-0.000770,-9.305504,-12.118547,-43.025715,,,,,,,5
1508446738.390655,-0.048334,0.055841,0.010893,-0.002516,0.034375,0.017526,-0.048239,-0.055812,-0.997275,0.012610,0.008647,-0.001779,-9.261039,-12.109711,-43.037796,,,,,,,5
1508446738.410641,-0.048234,0.055928,0.011142,0.009230,-0.008150,0.010137,-0.048140,-0.055899,-0.997275,0.012221,0.007208,0.000388,-9.242352,-12.105982,-43.042862,,,,,,,5
,,,,,,,,,,,,,,,,42.293512,-71.264280,60.209827,-1.000000,-1.000000,1508446738.409321,5
1508446738.430667,-0.048281,0.055935,0.011381,0.013494,-0.033631,0.014412,-0.048187,-0.055906,-0.997273,0.007431,0.005933,0.003239,-9.249075,-12.110659,-43.040100,,,,,,,5
,,,,,,,,,,,,,,,,42.293542,-71.264384,60.209827,-1.000000,-1.000000,1508446738.424422,5
1508446738.450687,-0.048736,0.055988,0.011805,0.013477,-0.034658,0.023994,-0.048640,-0.055959,-0.997248,0.005320,0.004125,0.003061,-9.266649,-12.111618,-43.036049,,,,,,,5
1508446738.470686,-0.049246,0.056208,0.012298,0.014540,-0.035716,0.025067,-0.049148,-0.056179,-0.997210,0.002960,0.000225,0.004428,-9.282742,-12.108059,-43.033585,,,,,,,5
1508446738.490694,-0.049886,0.056705,0.012705,0.022003,-0.021943,0.015556,-0.049785,-0.056674,-0.997151,0.001399,-0.004117,0.006214,-9.324905,-12.121986,-43.020546,,,,,,,5
,,,,,,,,,,,,,,,,42.293570,-71.264481,60.209827,-1.000000,-1.000000,1508446738.481405,5
1508446738.510706,-0.049989,0.057172,0.012962,0.023061,0.002479,0.012389,-0.049887,-0.057140,-0.997119,0.001059,0.000408,0.005832,-9.336688,-12.145096,-43.011467,,,,,,,5
1508446738.530712,-0.049561,0.057678,0.013521,0.044282,0.040821,0.043471,-0.049458,-0.057646,-0.997111,0.001713,0.003889,0.005656,-9.335329,-12.153764,-43.009315,,,,,,,5
,,,,,,,,,,,,,,,,42.293596,-71.264570,60.209827,-1.000000,-1.000000,1508446738.494967,5
1508446738.550717,-0.048504,0.058401,0.015006,0.060202,0.028178,0.075535,-0.048403,-0.058368,-0.997121,0.008837,0.004306,0.004705,-9.302004,-12.182693,-43.008354,,,,,,,5
1508446738.570739,-0.048399,0.059141,0.016417,0.033609,-0.027045,0.076339,-0.048296,-0.059107,-0.997083,0.014391,0.000238,0.000669,-9.292885,-12.204319,-43.004192,,,,,,,5
1508446738.590737,-0.049634,0.059629,0.018288,0.029339,-0.107674,0.106055,-0.049526,-0.059594,-0.996993,0.020854,-0.000450,0.001388,-9.315508,-12.212616,-42.996941,,,,,,,5
1508446738.610758,-0.051867,0.060607,0.019929,0.033709,-0.153529,0.056014,-0.051748,-0.060570,-0.996822,0.012777,-0.015373,0.000057,-9.458553,-12.226963,-42.961620,,,,,,,5
1508446738.630787,-0.055318,0.061670,0.019987,0.009383,-0.199472,-0.023013,-0.055185,-0.061631,-0.996572,0.003717,-0.020659,0.009924,-9.588348,-12.291083,-42.914528,,,,,,,5
,,,,,,,,,,,,,,,,42.293392,-71.264150,59.884586,-1.000000,-1.000000,1508446738.619140,5
1508446738.650796,-0.057710,0.061541,0.019443,-0.052467,-0.036875,-0.014882,-0.057568,-0.061502,-0.996445,-0.009891,-0.009589,0.018281,-9.664554,-12.295197,-42.896248,,,,,,,5
1508446738.670784,-0.057759,0.061671,0.018921,-0.091921,0.056665,-0.004490,-0.057617,-0.061632,-0.996435,-0.015197,-0.037871,0.021383,-9.719591,-12.279123,-42.888416,,,,,,,5
1508446738.690820,-0.052563,0.059572,0.018608,-0.134658,0.381731,-0.013115,-0.052446,-0.059537,-0.996847,-0.033751,-0.009433,0.034216,-9.648485,-12.263407,-42.908962,,,,,,,5
1508446738.710800,-0.044776,0.056170,0.018841,-0.166685,0.335221,0.048341,-0.044691,-0.056140,-0.997422,0.001859,-0.014493,-0.012588,-9.408104,-12.177875,-42.986633,,,,,,,5
1508446738.730837,-0.039964,0.053635,0.020058,-0.085705,0.171624,0.060598,-0.039896,-0.053609,-0.997765,0.018808,0.005681,0.008049,-9.007869,-11.966007,-43.131618,,,,,,,5
1508446738.750853,-0.036984,0.052048,0.020871,-0.081396,0.147114,0.039320,-0.036925,-0.052025,-0.997963,0.012664,0.006599,-0.001396,-8.883781,-11.889244,-43.178558,,,,,,,5
1508446738.770863,-0.034243,0.050376,0.021368,-0.057909,0.083300,0.021365,-0.034193,-0.050355,-0.998146,0.011717,0.008546,-0.012474,-8.825911,-11.851147,-43.200893,,,,,,,5
1508446738.790865,-0.034290,0.049797,0.021732,-0.011007,-0.029326,0.022732,-0.034241,-0.049777,-0.998173,0.009781,0.006686,0.006932,-8.739467,-11.769132,-43.240868,,,,,,,5
