timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508522294.073633,-0.172863,1.438918,2.019747,0.052423,-0.046675,0.025068,-0.022618,-0.991317,-0.129537,0.001637,-0.013353,0.022100,-18.556555,-38.135468,-13.041827,,,,,,,
1508522294.093644,-0.185670,1.438447,2.031434,-0.038224,-0.051646,0.108431,-0.024361,-0.991255,-0.129695,-0.004798,0.023435,-0.006749,-18.606821,-38.134212,-12.973682,,,,,,,
,,,,,,,,,,,,,,,,42.293467,-71.263992,58.531975,-1.000000,-1.000000,1508522142.301057,
1508522294.113666,-0.200226,1.437354,2.046229,-0.020141,0.036467,0.093740,-0.026462,-0.991110,-0.130388,-0.008893,0.027945,-0.028196,-18.698732,-38.084522,-12.987503,,,,,,,
1508522294.133676,-0.209399,1.437132,2.056911,0.019275,0.086284,0.067485,-0.027702,-0.991080,-0.130356,-0.047523,0.016974,-0.048080,-18.761965,-38.041584,-13.022111,,,,,,,
,,,,,,,,,,,,,,,,42.293467,-71.263992,58.531975,-1.000000,-1.000000,1508522133.301057,
,,,,,,,,,,,,,,,,42.293467,-71.263992,58.531975,-1.000000,-1.000000,1508522142.301057,
1508522294.153659,-0.224049,1.437770,2.073705,0.074524,0.105595,0.129711,-0.029469,-0.991165,-0.129319,-0.049572,0.011520,-0.026687,-18.769188,-38.036503,-13.026543,,,,,,,
1508522294.173682,-0.246012,1.438818,2.099024,0.095732,0.200210,0.152317,-0.032048,-0.991304,-0.127633,-0.036799,0.022798,-0.002402,-18.860483,-37.995819,-13.013413,,,,,,,
1508522294.193704,-0.267498,1.440432,2.125250,0.141523,0.215031,0.144188,-0.034360,-0.991515,-0.125372,-0.020739,0.027846,-0.030420,-18.932714,-37.960209,-13.012438,,,,,,,
1508522294.233722,-0.320259,1.445644,2.181998,0.203445,0.010902,0.107279,-0.039297,-0.992179,-0.118479,0.175649,0.008780,-0.076620,-19.065296,-37.940590,-12.875362,,,,,,,
1508522294.253731,-0.348910,1.449741,2.209485,0.277023,-0.130507,0.084355,-0.041285,-0.992682,-0.113483,0.225473,0.021262,-0.089001,-19.169035,-37.962723,-12.654194,,,,,,,
1508522294.213703,-0.293407,1.442777,2.154199,0.174594,0.090718,0.143302,-0.036924,-0.991817,-0.122214,0.054777,0.015071,-0.057092,-18.979862,-37.948086,-12.979070,,,,,,,
1508522294.273722,-0.382626,1.454997,2.239293,0.323952,-0.225145,0.065505,-0.043138,-0.993303,-0.107185,0.228990,0.034608,-0.059288,-19.245144,-37.995007,-12.439962,,,,,,,
1508522294.293750,-0.421783,1.460749,2.275291,0.346237,-0.125248,0.079607,-0.044961,-0.993951,-0.100200,0.214944,0.058099,-0.024861,-19.323893,-38.035797,-12.190738,,,,,,,
1508522294.313760,-0.462953,1.466021,2.315344,0.321703,-0.031754,0.078410,-0.046706,-0.994516,-0.093575,0.071334,0.139551,0.076134,-19.417038,-38.088661,-11.873552,,,,,,,
1508522294.333742,-0.501406,1.471209,2.353958,0.321769,-0.006414,0.033711,-0.047789,-0.995045,-0.087185,-0.048021,-0.035137,0.072704,-19.508232,-38.160610,-11.486752,,,,,,,
1508522294.353779,-0.529292,1.476025,2.380409,0.223985,-0.121325,-0.032133,-0.047781,-0.995513,-0.081681,-0.067789,-0.116807,0.029344,-19.524134,-38.208294,-11.299697,,,,,,,
1508522294.373761,-0.542149,1.479331,2.389806,0.154823,-0.208405,-0.033834,-0.047128,-0.995820,-0.078240,-0.133154,-0.130279,-0.118797,-19.526068,-38.255436,-11.135658,,,,,,,
1508522294.393771,-0.569163,1.482561,2.410791,0.205968,-0.368757,-0.009044,-0.047491,-0.996110,-0.074229,-0.168635,-0.032638,-0.137120,-19.556543,-38.315235,-10.873489,,,,,,,
1508522294.413795,-0.600934,1.487078,2.433501,0.271071,-0.503881,-0.058652,-0.047280,-0.996498,-0.068971,-0.219306,0.070671,-0.041060,-19.626026,-38.367546,-10.559319,,,,,,,
1508522294.433790,-0.655782,1.492918,2.477507,0.385978,-0.557893,0.006140,-0.047440,-0.996969,-0.061661,-0.219436,0.085226,0.132889,-19.716587,-38.467033,-10.014603,,,,,,,
1508522294.453806,-0.761855,1.498855,2.574494,0.500686,-0.388644,0.120078,-0.049616,-0.997413,-0.052009,-0.168524,0.093193,0.109794,-19.857548,-38.530022,-9.479654,,,,,,,
1508522294.473833,-0.910370,1.504690,2.718645,0.597500,-0.153998,0.097630,-0.052168,-0.997816,-0.040524,-0.137651,0.078825,0.066616,-19.857548,-38.530022,-9.479654,,,,,,,
,,,,,,,,,,,,,,,,42.293680,-71.264972,58.531975,-1.000000,-1.000000,1508522294.396250,
1508522294.493843,-1.083939,1.510503,2.891403,0.608205,-0.012970,0.024358,-0.053255,-0.998183,-0.028191,-0.071547,-0.001573,-0.080406,-20.052185,-38.616066,-8.686648,,,,,,,
1508522294.513834,-1.251539,1.515438,3.060112,0.496541,0.072785,-0.076585,-0.052534,-0.998468,-0.017366,-0.044130,0.005365,-0.200804,-20.066191,-38.756596,-8.001437,,,,,,,
1508522294.533861,-1.390136,1.520523,-3.081748,0.387041,0.155285,-0.196678,-0.049434,-0.998737,-0.009029,-0.034458,0.001956,-0.256855,-20.066191,-38.756596,-8.001437,,,,,,,
,,,,,,,,,,,,,,,,42.293799,-71.265328,58.531975,-1.000000,-1.000000,1508522294.462209,
