timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508530892.528844,-0.003170,-0.001856,2.606006,0.162981,0.020163,0.012502,-0.003170,0.001856,-0.999993,0.000271,0.000707,0.098077,12.896333,-6.507065,-22.575016,,,,,,,
,,,,,,,,,,,,,,,,42.293258,-71.263278,58.769871,-1.000000,-1.000000,1508530889.701050,
1508530892.548854,-0.003824,0.003908,2.607079,0.310929,-0.063652,0.065833,-0.003824,-0.003908,-0.999985,0.003381,-0.000562,-0.005081,12.890178,-6.638394,-22.540266,,,,,,,
,,,,,,,,,,,,,,,,42.293258,-71.263278,58.769871,-1.000000,-1.000000,1508530880.701050,
1508530892.568864,-0.007668,0.007078,2.607574,0.043906,-0.277282,-0.003612,-0.007667,-0.007078,-0.999946,0.006569,-0.014711,-0.057000,12.822149,-6.750636,-22.545732,,,,,,,
,,,,,,,,,,,,,,,,42.293258,-71.263278,58.769871,-1.000000,-1.000000,1508530889.701050,
1508530892.588871,-0.014248,0.005599,2.606708,-0.110367,-0.324127,-0.056028,-0.014247,-0.005599,-0.999883,0.006450,-0.005052,-0.028041,12.756028,-6.751617,-22.582916,,,,,,,
1508530892.608879,-0.020049,0.002278,2.605817,-0.068951,-0.222053,-0.023667,-0.020048,-0.002278,-0.999796,-0.008929,0.024312,0.030100,12.560540,-6.666699,-22.717319,,,,,,,
1508530892.628890,-0.023359,0.002257,2.606197,0.038435,-0.135841,0.039040,-0.023357,-0.002257,-0.999725,-0.017705,0.015074,0.026214,12.478934,-6.619011,-22.776161,,,,,,,
1508530892.648898,-0.025709,0.003374,2.607400,0.068196,-0.107099,0.060602,-0.025706,-0.003374,-0.999664,0.001063,0.004411,0.002838,12.411951,-6.650626,-22.803537,,,,,,,
1508530892.668907,-0.027632,0.004012,2.608470,0.011772,-0.092227,0.051630,-0.027629,-0.004012,-0.999610,0.006816,0.000411,-0.013085,12.343809,-6.693530,-22.827957,,,,,,,
1508530892.688910,-0.029749,0.003783,2.609737,-0.029754,-0.117672,0.059786,-0.029745,-0.003783,-0.999550,0.008703,-0.017548,-0.045097,12.290221,-6.709054,-22.852303,,,,,,,
,,,,,,,,,,,,,,,,42.293070,-71.263103,58.769871,-1.000000,-1.000000,1508530892.661502,
1508530892.708924,-0.035067,0.002484,2.610794,-0.058388,-0.336506,0.057254,-0.035059,-0.002484,-0.999382,0.011713,-0.007510,-0.020302,12.290221,-6.709054,-22.852303,,,,,,,
,,,,,,,,,,,,,,,,42.292978,-71.263086,58.769871,-1.000000,-1.000000,1508530892.694634,
1508530892.728929,-0.042443,0.001639,2.612098,0.037427,-0.367314,0.071864,-0.042430,-0.001639,-0.999098,0.007304,0.015570,0.023039,12.102059,-6.693016,-22.957188,,,,,,,
1508530892.748942,-0.048005,0.002940,2.613785,0.073525,-0.199445,0.082936,-0.047986,-0.002940,-0.998844,0.003339,0.004328,0.034046,11.854074,-6.729310,-23.075657,,,,,,,
1508530892.768951,-0.048402,0.003541,2.615439,0.016952,0.095901,0.079498,-0.048383,-0.003541,-0.998823,0.000180,0.003679,0.029050,11.801074,-6.766032,-23.092079,,,,,,,
1508530892.788957,-0.044060,0.003462,2.617416,-0.002354,0.254322,0.114595,-0.044046,-0.003462,-0.999023,0.005975,-0.002229,0.000259,11.869667,-6.794809,-23.048431,,,,,,,
1508530892.808968,-0.039548,0.003114,2.620031,-0.018332,0.189606,0.136774,-0.039537,-0.003114,-0.999213,0.010301,0.000154,-0.000298,11.964069,-6.821130,-22.991777,,,,,,,
1508530892.828960,-0.036261,0.002703,2.622506,0.000940,0.067337,0.110222,-0.036253,-0.002703,-0.999339,0.017881,0.002458,0.002528,12.028796,-6.836423,-22.953432,,,,,,,
1508530892.848984,-0.034584,0.003239,2.624112,0.045807,-0.039027,0.062592,-0.034577,-0.003239,-0.999397,0.016251,-0.002422,-0.008950,12.055756,-6.870656,-22.929054,,,,,,,
1508530892.868995,-0.035850,0.004617,2.625198,0.054388,-0.133607,0.054073,-0.035842,-0.004617,-0.999347,0.016509,-0.005667,-0.010785,12.046391,-6.901822,-22.924616,,,,,,,
1508530892.889002,-0.038278,0.005353,2.626508,0.018164,-0.143092,0.069739,-0.038268,-0.005353,-0.999253,0.014892,-0.003299,-0.009948,12.005930,-6.947573,-22.932020,,,,,,,
1508530892.909005,-0.038383,0.005493,2.627295,0.006470,0.016069,0.013331,-0.038373,-0.005493,-0.999248,0.019070,0.001480,0.013729,11.937668,-6.974067,-22.959599,,,,,,,
1508530892.929021,-0.035441,0.006049,2.627175,-0.011628,0.090368,-0.009121,-0.035433,-0.006049,-0.999354,0.015536,-0.010400,0.004572,12.001038,-6.976825,-22.925697,,,,,,,
1508530892.949028,-0.033740,0.006415,2.627114,0.000097,0.031969,0.000515,-0.033733,-0.006415,-0.999410,0.010875,-0.011301,0.004995,12.037658,-6.983343,-22.904505,,,,,,,
,,,,,,,,,,,,,,,,42.292884,-71.263067,58.769871,-1.000000,-1.000000,1508530892.919986,
1508530892.969038,-0.033562,0.007177,2.626974,0.005494,-0.063690,-0.013355,-0.033555,-0.007177,-0.999411,0.008760,-0.005289,0.000647,12.071382,-7.003245,-22.880669,,,,,,,
,,,,,,,,,,,,,,,,42.292795,-71.263051,58.769871,-1.000000,-1.000000,1508530892.957069,
1508530892.989028,-0.034528,0.007605,2.626603,0.006588,-0.099829,-0.019761,-0.034520,-0.007605,-0.999375,0.006535,-0.005381,-0.001922,12.058506,-7.008754,-22.885771,,,,,,,
1508530893.009055,-0.036165,0.007857,2.626320,-0.000894,-0.073233,-0.010220,-0.036156,-0.007857,-0.999315,0.003487,-0.005662,0.002840,12.032393,-7.011486,-22.898672,,,,,,,
1508530893.029064,-0.036474,0.008055,2.626207,-0.003071,0.003277,-0.004856,-0.036465,-0.008055,-0.999303,0.004406,-0.002962,0.009633,12.007321,-7.016001,-22.910448,,,,,,,
1508530893.049072,-0.035327,0.007890,2.626065,0.007547,0.068067,-0.006849,-0.035319,-0.007890,-0.999345,0.002543,0.004990,0.015397,12.021349,-7.015306,-22.903303,,,,,,,
,,,,,,,,,,,,,,,,42.293287,-71.263247,58.762432,-1.000000,-1.000000,1508530893.028286,
1508530893.069064,-0.033884,0.007900,2.626100,0.019240,0.059608,0.006018,-0.033876,-0.007900,-0.999395,0.002306,0.010464,0.002431,12.054868,-7.015199,-22.885712,,,,,,,
